site,site.code,bommie ID,quadrant,location,treatment,date deployed,pre-treatment weight,post-treatment weight,proportion from control,correction,corrected pre-treatment weight,difference final,rate dissolution
MRB,2,M6,1,sediment,upstream,"May 5, 2022",31.702,22.616,0.03703119082,1.173962811,30.52803719,7.912037189,0.3296682162
MRB,2,M6,1,bommie,upstream,"May 5, 2022",26.777,17.327,0.03703119082,0.9915841967,25.7854158,8.458415803,0.3524339918
MRB,2,M6,2,sediment,downstream,"May 5, 2022",30.252,21.016,0.03703119082,1.120267585,29.13173242,8.115732415,0.3381555173
MRB,2,M6,2,bommie,downstream,"May 5, 2022",31.069,17.631,0.03703119082,1.150522068,29.91847793,12.28747793,0.5119782472
MRB,2,M6,3,sediment,left,"May 5, 2022",30.234,18.982,0.03703119082,1.119601023,29.11439898,10.13239898,0.4221832907
MRB,2,M6,3,bommie,left,"May 5, 2022",33.844,21.337,0.03703119082,1.253283622,32.59071638,11.25371638,0.4689048491
MRB,2,M6,4,sediment,right,"May 5, 2022",31.121,22.233,0.03703119082,1.15244769,29.96855231,7.73555231,0.3223146796
MRB,2,M6,4,bommie,right,"May 5, 2022",33.428,22.667,0.03703119082,1.237878647,32.19012135,9.523121353,0.396796723
MRB,2,M7,1,sediment,upstream,"May 5, 2022",28.251,18.94,0.03703119082,1.046168172,27.20483183,8.264831828,0.3443679928
MRB,2,M7,2,sediment,downstream,"May 5, 2022",27.354,17.961,0.03703119082,1.012951194,26.34104881,8.380048806,0.3491687003
MRB,2,M7,2,bommie,downstream,"May 5, 2022",27.475,16.804,0.03703119082,1.017431968,26.45756803,9.653568032,0.4022320013
MRB,2,M7,3,sediment,left,"May 5, 2022",30.586,20.553,0.03703119082,1.132636003,29.453364,8.900363997,0.3708484999
MRB,2,M7,3,bommie,left,"May 5, 2022",32.417,17.702,0.03703119082,1.200440113,31.21655989,13.51455989,0.563106662
MRB,2,M7,4,sediment,right,"May 5, 2022",29.723,18.483,0.03703119082,1.100678085,28.62232192,10.13932192,0.4224717465
MRB,2,M8,1,sediment,upstream,"May 5, 2022",33.713,24.629,0.03703119082,1.248432536,32.46456746,7.835567464,0.3264819777
MRB,2,M8,1,bommie,upstream,"May 5, 2022",30.679,18.75,0.03703119082,1.136079903,29.5429201,10.7929201,0.449705004
MRB,2,M8,2,sediment,downstream,"May 5, 2022",29.65,21.374,0.03703119082,1.097974808,28.55202519,7.178025192,0.299084383
MRB,2,M8,2,bommie,downstream,"May 5, 2022",29.969,18.988,0.03703119082,1.109787758,28.85921224,9.871212242,0.4113005101
MRB,2,M8,3,sediment,left,"May 5, 2022",30.873,21.421,0.03703119082,1.143263954,29.72973605,8.308736046,0.3461973352
MRB,2,M8,3,bommie,left,"May 5, 2022",29.2,19.095,0.03703119082,1.081310772,28.11868923,9.023689228,0.3759870512
MRB,2,M8,4,sediment,right,"May 5, 2022",31.488,22.053,0.03703119082,1.166038137,30.32196186,8.268961863,0.3445400776
MRB,2,M8,4,bommie,right,"May 5, 2022",26.737,17.616,0.03703119082,0.990102949,25.74689705,8.130897051,0.3387873771
MRB,2,M9,1,sediment,upstream,"May 5, 2022",33.26,26.122,0.03703119082,1.231657407,32.02834259,5.906342593,0.2460976081
MRB,2,M9,1,bommie,upstream,"May 5, 2022",31.444,18.744,0.03703119082,1.164408764,30.27959124,11.53559124,0.4806496348
MRB,2,M9,2,sediment,downstream,"May 5, 2022",31.091,22.813,0.03703119082,1.151336754,29.93966325,7.126663246,0.2969443019
MRB,2,M9,2,bommie,downstream,"May 5, 2022",30.973,19.743,0.03703119082,1.146967073,29.82603293,10.08303293,0.4201263719
MRB,2,M9,3,sediment,left,"May 5, 2022",29.584,22.601,0.03703119082,1.095530749,28.48846925,5.887469251,0.2453112188
MRB,2,M9,3,bommie,left,"May 5, 2022",31.245,21.352,0.03703119082,1.157039557,30.08796044,8.735960443,0.3639983518
MRB,2,M9,4,sediment,right,"May 5, 2022",33.428,24.29,0.03703119082,1.237878647,32.19012135,7.900121353,0.329171723
MRB,2,M9,4,bommie,right,"May 5, 2022",35.514,25.649,0.03703119082,1.315125711,34.19887429,8.549874289,0.356244762
MRB,2,M10,1,sediment,upstream,"May 5, 2022",34.873,25.798,0.03703119082,1.291388718,33.58161128,7.783611282,0.3243171368
MRB,2,M10,1,bommie,upstream,"May 5, 2022",32.456,19.626,0.03703119082,1.201884329,31.25411567,11.62811567,0.4845048196
MRB,2,M10,2,sediment,downstream,"May 5, 2022",31.038,23.759,0.03703119082,1.149374101,29.8886259,6.129625899,0.2554010791
MRB,2,M10,2,bommie,downstream,"May 5, 2022",29.543,19.842,0.03703119082,1.09401247,28.44898753,8.60698753,0.3586244804
